Function,Threads,Time(s),FLOP/s,Memory(Bytes)
linear_layer_omp,242,0.013397,60111044838.64,29458432
linear_layer_omp,243,0.015256,52786455593.67,29458432
linear_layer_omp,244,0.014633,55033804000.45,29458432
linear_layer_omp,245,0.013066,61633482118.28,29458432
linear_layer_omp,246,0.025059,32136432334.60,29458432
linear_layer_omp,247,0.014383,55990778777.44,29458432
linear_layer_omp,248,0.015703,51283721065.36,29458432
linear_layer_omp,249,0.013888,57986261296.62,29458432
linear_layer_omp,250,0.011968,67288876238.18,29458432
linear_layer_omp,251,0.019486,41327538486.82,29458432
linear_layer_omp,252,0.013336,60386157513.68,29458432
linear_layer_omp,253,0.027353,29441192749.12,29458432
linear_layer_omp,254,0.016285,49450979745.37,29458432
linear_layer_omp,255,0.012427,64803724349.18,29458432
linear_layer_omp,256,0.012384,65028295416.58,29458432
linear_layer_omp,257,0.016313,49366418504.96,29458432
linear_layer_omp,258,0.012800,62914666875.18,29458432
linear_layer_omp,259,0.016778,47997779237.88,29458432
linear_layer_omp,260,0.012896,62445918294.10,29458432
linear_layer_omp,261,0.012559,64122175573.85,29458432
linear_layer_omp,262,0.018811,42810424980.39,29458432
linear_layer_omp,263,0.019198,41947017877.23,29458432
linear_layer_omp,264,0.016447,48963523723.30,29458432
linear_layer_omp,265,0.013546,59449797953.53,29458432
linear_layer_omp,266,0.012455,64657345339.35,29458432
linear_layer_omp,267,0.015515,51904721022.33,29458432
linear_layer_omp,268,0.016615,48468885898.98,29458432
linear_layer_omp,269,0.020464,39352452704.44,29458432
linear_layer_omp,270,0.014043,57346345000.47,29458432
linear_layer_omp,271,0.012582,64004315095.37,29458432
linear_layer_omp,272,0.018554,43403447919.30,29458432
linear_layer_omp,273,0.012465,64605403781.95,29458432
linear_layer_omp,274,0.024120,33387696662.20,29458432
linear_layer_omp,275,0.016958,47488291654.76,29458432
linear_layer_omp,276,0.015620,51556127917.70,29458432
linear_layer_omp,277,0.015609,51592352419.13,29458432
linear_layer_omp,278,0.015746,51143947436.18,29458432
linear_layer_omp,279,0.013941,57765117584.66,29458432
linear_layer_omp,280,0.012432,64777625386.49,29458432
linear_layer_omp,281,0.015160,53120179293.05,29458432
linear_layer_omp,282,0.013438,59927607127.51,29458432
linear_layer_omp,283,0.019719,40838851387.14,29458432
linear_layer_omp,284,0.013742,58600942426.62,29458432
linear_layer_omp,285,0.012460,64631364124.83,29458432
linear_layer_omp,286,0.013948,57736482864.31,29458432
linear_layer_omp,287,0.015647,51467357233.62,29458432
linear_layer_omp,288,0.017793,45259881822.45,29458432
linear_layer_omp,289,0.013915,57872999118.08,29458432
linear_layer_omp,290,0.016232,49612228203.16,29458432
linear_layer_omp,291,0.012385,65023288040.04,29458432
linear_layer_omp,292,0.013214,60942907775.11,29458432
linear_layer_omp,293,0.013985,57583915313.23,29458432
linear_layer_omp,294,0.015447,52133040909.52,29458432
linear_layer_omp,295,0.011778,68374488269.79,29458432
linear_layer_omp,296,0.012442,64725490476.72,29458432
linear_layer_omp,297,0.017962,44833944629.91,29458432
linear_layer_omp,298,0.014009,57484933464.85,29458432
linear_layer_omp,299,0.016967,47462934315.01,29458432
linear_layer_omp,300,0.018841,42742166662.80,29458432
linear_layer_omp,301,0.014092,57145511031.31,29458432
linear_layer_omp,302,0.015723,51218398418.85,29458432
linear_layer_omp,303,0.016696,48233559726.51,29458432
linear_layer_omp,304,0.017437,46183818099.54,29458432
linear_layer_omp,305,0.012379,65054596801.45,29458432
linear_layer_omp,306,0.016839,47823805297.16,29458432
linear_layer_omp,307,0.013970,57644845473.64,29458432
linear_layer_omp,308,0.013864,58086978632.96,29458432
linear_layer_omp,309,0.016035,50221537417.15,29458432
linear_layer_omp,310,0.015478,52028646342.08,29458432
linear_layer_omp,311,0.014022,57431175429.38,29458432
linear_layer_omp,312,0.018896,42618127821.94,29458432
linear_layer_omp,313,0.014022,57431175429.38,29458432
linear_layer_omp,314,0.012513,64356751019.89,29458432
linear_layer_omp,315,0.012402,64934535258.24,29458432
linear_layer_omp,316,0.012486,64496844004.73,29458432
linear_layer_omp,317,0.015690,51325802253.91,29458432
linear_layer_omp,318,0.012918,62339886318.85,29458432
linear_layer_omp,319,0.018579,43344964716.88,29458432
linear_layer_omp,320,0.018242,44145435684.50,29458432
linear_layer_omp,321,0.014793,54438637793.38,29458432
linear_layer_omp,322,0.010873,74064241213.20,29458432
linear_layer_omp,323,0.010873,74065865286.55,29458432
linear_layer_omp,324,0.015622,51549833196.40,29458432
linear_layer_omp,325,0.011082,72668396130.20,29458432
linear_layer_omp,326,0.013880,58019130503.60,29458432
linear_layer_omp,327,0.012423,64823623393.23,29458432
linear_layer_omp,328,0.012535,64244136498.17,29458432
linear_layer_omp,329,0.018581,43339959203.54,29458432
linear_layer_omp,330,0.021577,37322236445.21,29458432
linear_layer_omp,331,0.012458,64641259267.94,29458432
linear_layer_omp,332,0.015546,51801237949.97,29458432
linear_layer_omp,333,0.015978,50400640442.39,29458432
linear_layer_omp,334,0.013924,57835343319.20,29458432
linear_layer_omp,335,0.012398,64954514731.02,29458432
linear_layer_omp,336,0.012406,64912073037.91,29458432
linear_layer_omp,337,0.014084,57179369591.82,29458432
linear_layer_omp,338,0.012380,65049585373.67,29458432
linear_layer_omp,339,0.015902,50641694211.64,29458432
linear_layer_omp,340,0.012981,62037610118.79,29458432
linear_layer_omp,341,0.010977,73362866152.51,29458432
linear_layer_omp,342,0.016421,49041012276.27,29458432
linear_layer_omp,343,0.011782,68349583563.23,29458432
linear_layer_omp,344,0.013169,61151438771.21,29458432
linear_layer_omp,345,0.015154,53141908755.95,29458432
linear_layer_omp,346,0.011598,69435701932.94,29458432
linear_layer_omp,347,0.012922,62320332857.21,29458432
linear_layer_omp,348,0.010910,73813368018.53,29458432
linear_layer_omp,349,0.013459,59834187534.82,29458432
linear_layer_omp,350,0.012415,64865949464.74,29458432
linear_layer_omp,351,0.010984,73315094539.47,29458432
linear_layer_omp,352,0.018953,42489995729.59,29458432
linear_layer_omp,353,0.010906,73840800133.96,29458432
linear_layer_omp,354,0.015638,51496390061.56,29458432
linear_layer_omp,355,0.012492,64466069673.21,29458432
linear_layer_omp,356,0.015021,53611728338.78,29458432
linear_layer_omp,357,0.014964,53815877262.89,29458432
linear_layer_omp,358,0.012615,63837382028.84,29458432
linear_layer_omp,359,0.012410,64892119662.02,29458432
linear_layer_omp,360,0.015593,51645205353.47,29458432
linear_layer_omp,361,0.012564,64096622588.15,29458432
linear_layer_omp,362,0.014031,57395067468.61,29458432
linear_layer_omp,363,0.015576,51701331994.43,29458432
linear_layer_omp,364,0.016312,49369304712.69,29458432
linear_layer_omp,365,0.015649,51460300143.64,29458432
linear_layer_omp,366,0.017001,47368417133.35,29458432
linear_layer_omp,367,0.013754,58551166976.28,29458432
linear_layer_omp,368,0.012287,65541859329.15,29458432
linear_layer_omp,369,0.014693,54808764348.87,29458432
linear_layer_omp,370,0.013877,58032089212.56,29458432
linear_layer_omp,371,0.012488,64485761861.20,29458432
linear_layer_omp,372,0.012483,64511626122.61,29458432
linear_layer_omp,373,0.012402,64934535258.24,29458432
linear_layer_omp,374,0.012460,64631364124.83,29458432
linear_layer_omp,375,0.013435,59940368769.46,29458432
linear_layer_omp,376,0.014148,56920168526.45,29458432
linear_layer_omp,377,0.017979,44791732028.38,29458432
linear_layer_omp,378,0.011644,69159886986.38,29458432
linear_layer_omp,379,0.011585,69512867002.69,29458432
linear_layer_omp,380,0.013622,59117873816.89,29458432
linear_layer_omp,381,0.013061,61657108548.94,29458432
linear_layer_omp,382,0.015634,51509740453.96,29458432
linear_layer_omp,383,0.012415,64865949464.74,29458432
linear_layer_omp,384,0.012449,64688302605.15,29458432
linear_layer_omp,385,0.015459,52092839613.32,29458432
linear_layer_omp,386,0.013896,57952434982.63,29458432
linear_layer_omp,387,0.011903,67655477627.00,29458432
linear_layer_omp,388,0.016955,47496972755.41,29458432
linear_layer_omp,389,0.016488,48841745047.83,29458432
linear_layer_omp,390,0.012482,64516555001.11,29458432
linear_layer_omp,391,0.012091,66602904928.18,29458432
linear_layer_omp,392,0.034048,23652034343.51,29458432
linear_layer_omp,393,0.010970,73409104592.89,29458432
linear_layer_omp,394,0.016992,47393008566.41,29458432
linear_layer_omp,395,0.010931,73671691688.36,29458432
linear_layer_omp,396,0.012454,64663534421.90,29458432
linear_layer_omp,397,0.017093,47112725200.54,29458432
linear_layer_omp,398,0.012318,65375676857.66,29458432
linear_layer_omp,399,0.013964,57670435222.18,29458432
linear_layer_omp,400,0.012131,66384302991.84,29458432
linear_layer_omp,401,0.010994,73248318706.83,29458432
linear_layer_omp,402,0.013586,59275568512.15,29458432
linear_layer_omp,403,0.017021,47312682558.42,29458432
linear_layer_omp,404,0.014420,55846362893.55,29458432
linear_layer_omp,405,0.012584,63994613980.94,29458432
linear_layer_omp,406,0.014025,57419459762.48,29458432
linear_layer_omp,407,0.014469,55656797398.63,29458432
linear_layer_omp,408,0.012010,67052442143.33,29458432
linear_layer_omp,409,0.012466,64600461319.05,29458432
linear_layer_omp,410,0.015801,50964914681.67,29458432
linear_layer_omp,411,0.014137,56964326174.68,29458432
linear_layer_omp,412,0.015487,51999010430.41,29458432
linear_layer_omp,413,0.010867,74106490281.22,29458432
linear_layer_omp,414,0.011149,72231720639.15,29458432
linear_layer_omp,415,0.014597,55168635696.66,29458432
linear_layer_omp,416,0.010885,73983128256.00,29458432
linear_layer_omp,417,0.012416,64859721576.28,29458432
linear_layer_omp,418,0.011687,68907334459.34,29458432
linear_layer_omp,419,0.012440,64735414464.76,29458432
linear_layer_omp,420,0.012726,63280059211.42,29458432
linear_layer_omp,421,0.016596,48523893756.95,29458432
linear_layer_omp,422,0.012375,65075903986.74,29458432
linear_layer_omp,423,0.010854,74196022329.49,29458432
linear_layer_omp,424,0.014388,55970367212.30,29458432
linear_layer_omp,425,0.012898,62436683805.83,29458432
linear_layer_omp,426,0.012544,64198956921.82,29458432
linear_layer_omp,427,0.018606,43282201470.14,29458432
linear_layer_omp,428,0.012408,64903341926.29,29458432
linear_layer_omp,429,0.011667,69024210085.38,29458432
linear_layer_omp,430,0.012593,63948573818.66,29458432
linear_layer_omp,431,0.010929,73684548877.14,29458432
linear_layer_omp,432,0.010882,74002579158.42,29458432
linear_layer_omp,433,0.012487,64490686788.12,29458432
linear_layer_omp,434,0.010897,73900575865.92,29458432
linear_layer_omp,435,0.013145,61262350966.32,29458432
linear_layer_omp,436,0.013521,59559868817.83,29458432
linear_layer_omp,437,0.013964,57670435222.18,29458432
linear_layer_omp,438,0.013070,61615493178.06,29458432
linear_layer_omp,439,0.015735,51179594838.07,29458432
linear_layer_omp,440,0.014094,57138744130.46,29458432
linear_layer_omp,441,0.014222,56624360371.63,29458432
linear_layer_omp,442,0.015421,52221702543.72,29458432
linear_layer_omp,443,0.018839,42746494052.27,29458432
linear_layer_omp,444,0.013200,61007851901.52,29458432
linear_layer_omp,445,0.010922,73732803329.58,29458432
linear_layer_omp,446,0.013991,57559383124.77,29458432
linear_layer_omp,447,0.012407,64907083543.65,29458432
linear_layer_omp,448,0.016833,47841416964.50,29458432
linear_layer_omp,449,0.015790,51001082933.62,29458432
linear_layer_omp,450,0.012424,64818647486.62,29458432
linear_layer_omp,451,0.012426,64807454489.30,29458432
linear_layer_omp,452,0.016990,47398994127.61,29458432
linear_layer_omp,453,0.013348,60332226855.91,29458432
linear_layer_omp,454,0.015528,51861685585.96,29458432
linear_layer_omp,455,0.016212,49673515699.40,29458432
linear_layer_omp,456,0.014066,57252058927.20,29458432
linear_layer_omp,457,0.013504,59634528964.12,29458432
linear_layer_omp,458,0.012451,64678393055.32,29458432
linear_layer_omp,459,0.014450,55730262020.33,29458432
linear_layer_omp,460,0.015594,51642046915.08,29458432
linear_layer_omp,461,0.019110,42140652508.68,29458432
linear_layer_omp,462,0.013994,57546634645.67,29458432
linear_layer_omp,463,0.012567,64080814276.76,29458432
linear_layer_omp,464,0.013404,60078969077.89,29458432
